"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-01","6.6",",,W"," 1342",",,X"," 1338",",,W","10.2",",,0,2400","0.0",",,0","0.0",",,0",,,"11.1",",,0","7.2",",,0","  190",",,X","  190",",,X","0.0",",,0","12.5",",,X","16.5",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-02","5.2",",,W"," 1225",",,X"," 1225",",,W","1.5",",,0,2400","0.0",",,0","0.0",",,0",,,"8.3",",,0","6.1",",,0","  200",",,X","  210",",,X","0.0",",,0","8.9",",,X","11.2",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-03","2.3",",,W"," 2249",",,X"," 2243",",,W","0.8",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","3.9",",,0","   10",",,X","   10",",,X","0.0",",,0","4.5",",,X","5.4",",,X","    1",",,W","    1",",,W",,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-04","3.7",",,W"," 2350",",,X"," 2347",",,W","24.9",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","6.7",",,0","  110",",,Z","  120",",,Z","0.0",",,0","7.2",",,Z","9.4",",,Z","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-05","3.4",",,W"," 2251",",,X"," 2338",",,W","3.6",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","6.7",",,0","   20",",,X","   10",",,X","0.0",",,0","6.7",",,X","7.6",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,"    1",",,0",,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-06","5.1",",,W"," 2348",",,X"," 2003",",,W","0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","5.6",",,0","  110",",,X","   90",",,X","0.0",",,0","7.6",",,X","9.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-07","5.6",",,W"," 1107",",,X"," 1726",",,W","1.0",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","4.4",",,0","  120",",,X","  120",",,X","0.0",",,0","10.3",",,X","12.5",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-08","4.5",",,W"," 0922",",,X"," 0921",",,W","20.6",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","3.9",",,0","  100",",,X","  100",",,X","0.0",",,0","9.4",",,X","11.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-09","2.7",",,W"," 2359",",,X"," 2253",",,W","2.0",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","6.1",",,0","  110",",,X","  120",",,X","0.0",",,0","5.8",",,X","7.2",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-10","3.7",",,W"," 1748",",,X"," 1821",",,W","2.3",",,0,2400","0.0",",,0","0.0",",,0",,,"12.8",",,0","6.7",",,0","  110",",,X","  110",",,X","0.0",",,0","8.0",",,X","10.3",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
